timestamp,index,detector,feature,value,expected_range,confidence,severity,technique,description,true_label
2023-01-08 04:00:00,172,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8050.3,See rule definition,78,High,T0859 / T0855,Demand change of 521 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-08 11:00:00,179,Isolation Forest,multi-feature,-0.5828,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5828. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-08 23:00:00,191,Isolation Forest,multi-feature,-0.5794,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5794. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-09 02:00:00,194,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7708.6,See rule definition,78,High,T0859 / T0855,Demand change of 444 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-09 03:00:00,195,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8041.1,See rule definition,78,High,T0859 / T0855,Demand change of 332 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-10 03:00:00,219,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8026.9,See rule definition,78,High,T0859 / T0855,Demand change of 384 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-10 04:00:00,220,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8796.4,See rule definition,78,High,T0859 / T0855,Demand change of 770 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-11 03:00:00,243,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7924.2,See rule definition,78,High,T0859 / T0855,Demand change of 337 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-12 02:00:00,266,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7445.9,See rule definition,78,High,T0859 / T0855,Demand change of 685 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-12 04:00:00,268,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7706.5,See rule definition,78,High,T0859 / T0855,Demand change of 539 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-13 01:00:00,289,Isolation Forest,multi-feature,-0.5843,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5843. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-13 04:00:00,292,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7508.1,See rule definition,78,High,T0859 / T0855,Demand change of 354 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-14 00:00:00,312,Isolation Forest,multi-feature,-0.5957,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5957. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-14 02:00:00,314,Isolation Forest,multi-feature,-0.5867,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5867. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-14 04:00:00,316,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7866.0,See rule definition,78,High,T0859 / T0855,Demand change of 503 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-14 23:00:00,335,Isolation Forest,multi-feature,-0.5767,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5767. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-15 02:00:00,338,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7462.9,See rule definition,78,High,T0859 / T0855,Demand change of 327 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-15 03:00:00,339,Isolation Forest,multi-feature,-0.589,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5890. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-15 04:00:00,340,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7929.4,See rule definition,78,High,T0859 / T0855,Demand change of 341 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-15 23:00:00,359,Isolation Forest,multi-feature,-0.6046,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6046. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-16 03:00:00,363,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8058.4,See rule definition,78,High,T0859 / T0855,Demand change of 386 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-16 04:00:00,364,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8491.0,See rule definition,78,High,T0859 / T0855,Demand change of 433 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-17 03:00:00,387,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8365.4,See rule definition,78,High,T0859 / T0855,Demand change of 558 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-19 02:00:00,434,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7440.4,See rule definition,78,High,T0859 / T0855,Demand change of 308 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-19 04:00:00,436,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8096.9,See rule definition,78,High,T0859 / T0855,Demand change of 640 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-20 04:00:00,460,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7987.1,See rule definition,78,High,T0859 / T0855,Demand change of 941 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-21 03:00:00,483,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7416.6,See rule definition,78,High,T0859 / T0855,Demand change of 622 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-21 23:00:00,503,Isolation Forest,multi-feature,-0.6024,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6024. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-22 04:00:00,508,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8107.7,See rule definition,78,High,T0859 / T0855,Demand change of 552 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-23 01:00:00,529,Isolation Forest,multi-feature,-0.5806,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5806. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-23 02:00:00,530,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7829.4,See rule definition,78,High,T0859 / T0855,Demand change of 466 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-23 04:00:00,532,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8377.7,See rule definition,78,High,T0859 / T0855,Demand change of 668 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-24 04:00:00,556,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8331.7,See rule definition,78,High,T0859 / T0855,Demand change of 354 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-25 03:00:00,579,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8016.2,See rule definition,78,High,T0859 / T0855,Demand change of 744 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-26 02:00:00,602,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7352.8,See rule definition,78,High,T0859 / T0855,Demand change of 489 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-26 03:00:00,603,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7713.7,See rule definition,78,High,T0859 / T0855,Demand change of 361 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-26 20:00:00,620,Isolation Forest,multi-feature,-0.5756,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5756. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-26 23:00:00,623,Isolation Forest,multi-feature,-0.5839,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5839. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-27 01:00:00,625,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,6735.6,See rule definition,78,High,T0859 / T0855,Demand change of 320 MW at 01:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-27 03:00:00,627,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7266.7,See rule definition,78,High,T0859 / T0855,Demand change of 440 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-27 04:00:00,628,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7671.0,See rule definition,78,High,T0859 / T0855,Demand change of 404 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-28 00:00:00,648,Isolation Forest,multi-feature,-0.5819,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5819. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-28 02:00:00,650,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7444.8,See rule definition,78,High,T0859 / T0855,Demand change of 397 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-28 03:00:00,651,Isolation Forest,multi-feature,-0.6242,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6242. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-28 20:00:00,668,Isolation Forest,multi-feature,-0.5877,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5877. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-29 03:00:00,675,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7600.9,See rule definition,78,High,T0859 / T0855,Demand change of 414 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-29 04:00:00,676,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7928.9,See rule definition,78,High,T0859 / T0855,Demand change of 328 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-29 22:00:00,694,Isolation Forest,multi-feature,-0.5974,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5974. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-29 23:00:00,695,Isolation Forest,multi-feature,-0.6059,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6059. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-30 02:00:00,698,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7911.6,See rule definition,78,High,T0859 / T0855,Demand change of 580 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-30 04:00:00,700,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8326.4,See rule definition,78,High,T0859 / T0855,Demand change of 320 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-31 01:00:00,721,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7318.3,See rule definition,78,High,T0859 / T0855,Demand change of 305 MW at 01:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-31 03:00:00,723,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8217.4,See rule definition,78,High,T0859 / T0855,Demand change of 658 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-01 02:00:00,746,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7604.8,See rule definition,78,High,T0859 / T0855,Demand change of 330 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-01 04:00:00,748,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8092.1,See rule definition,78,High,T0859 / T0855,Demand change of 385 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-02 01:00:00,769,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7389.6,See rule definition,78,High,T0859 / T0855,Demand change of 487 MW at 01:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-02 04:00:00,772,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7978.2,See rule definition,78,High,T0859 / T0855,Demand change of 576 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-02 23:00:00,791,Isolation Forest,multi-feature,-0.5964,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5964. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-03 01:00:00,793,Isolation Forest,multi-feature,-0.5826,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5826. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-03 03:00:00,795,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7514.2,See rule definition,78,High,T0859 / T0855,Demand change of 668 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-04 01:00:00,817,Isolation Forest,multi-feature,-0.6238,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6238. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-04 03:00:00,819,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7636.7,See rule definition,78,High,T0859 / T0855,Demand change of 474 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-04 12:00:00,828,Isolation Forest,multi-feature,-0.6008,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6008. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-05 01:00:00,841,Isolation Forest,multi-feature,-0.5963,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5963. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-05 03:00:00,843,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7847.2,See rule definition,78,High,T0859 / T0855,Demand change of 572 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-05 04:00:00,844,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8196.2,See rule definition,78,High,T0859 / T0855,Demand change of 349 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-06 02:00:00,866,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7835.2,See rule definition,78,High,T0859 / T0855,Demand change of 310 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-06 03:00:00,867,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8138.4,See rule definition,78,High,T0859 / T0855,Demand change of 303 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-06 04:00:00,868,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8577.5,See rule definition,78,High,T0859 / T0855,Demand change of 439 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-07 04:00:00,892,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8683.0,See rule definition,78,High,T0859 / T0855,Demand change of 469 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-08 03:00:00,915,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7934.2,See rule definition,78,High,T0859 / T0855,Demand change of 340 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-08 04:00:00,916,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8352.2,See rule definition,78,High,T0859 / T0855,Demand change of 418 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-09 01:00:00,937,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7232.4,See rule definition,78,High,T0859 / T0855,Demand change of 360 MW at 01:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-10 03:00:00,963,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7494.9,See rule definition,78,High,T0859 / T0855,Demand change of 377 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-10 23:00:00,983,Isolation Forest,multi-feature,-0.5861,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5861. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-11 00:00:00,984,Isolation Forest,multi-feature,-0.6146,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6146. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-11 02:00:00,986,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7462.4,See rule definition,78,High,T0859 / T0855,Demand change of 669 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-11 23:00:00,1007,Isolation Forest,multi-feature,-0.5933,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5933. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-12 00:00:00,1008,Isolation Forest,multi-feature,-0.5814,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5814. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-12 01:00:00,1009,Isolation Forest,multi-feature,-0.5785,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5785. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-02-12 02:00:00,1010,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7758.9,See rule definition,78,High,T0859 / T0855,Demand change of 529 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-12 04:00:00,1012,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8584.4,See rule definition,78,High,T0859 / T0855,Demand change of 726 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-02-12 23:00:00,1031,Isolation Forest,multi-feature,-0.613,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.6130. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
